Hauptgruppe,Untergruppe
Glutenhaltige Getreide,Weizen
Glutenhaltige Getreide,Roggen
Glutenhaltige Getreide,Gerste
Glutenhaltige Getreide,Hafer
Glutenhaltige Getreide,Dinkel
Glutenhaltige Getreide,Kamut
Krebstiere,Flusskrebse
Krebstiere,Taschenkrebse
Krebstiere,Garnele
Krebstiere,Krabbe
Krebstiere,Shrimps
Krebstiere,Hummer
Krebstiere,Krill
Krebstiere,Languste
Krebstiere,Scampi
Eier,Hühner-Eiweiss
Eier,Hühner-Eigelb
Eier,Ovomucoid Gal d1
Eier,Ovalbumin Gal d2
Eier,Ovotransferrin Gal d3
Eier,Lysozym C Gal d4
Fische,Aal
Fische,Dorsch/Kabeljau
Fische,Forelle
Fische,Heilbutt
Fische,Hering
Fische,Karpfen
Fische,Lachs
Fische,Makrele
Fische,Pflattfisch
Fische,Rotbarsch
Fische,Sardelle
Fische,Sardine
Fische,Scholle
Fische,Seehecht
Fische,Seezunge
Fische,Thunfisch
Erdnüsse,Erdnüsse
Sojabohnen,Sojabohnen
Milch,Kasein
Milch,Kuhmilch
Milch,Kuhmilch gekocht
Milch,Kuhmilch roh
Milch,Kuhmilcheiweiss
Milch,Stutenmilch
Milch,ß-Lactoglobulin
Milch,Camambert
Milch,Cheddarkäse
Milch,Edamer Käse
Milch,Gouda Käse
Milch,Joghurt
Milch,Kefir
Milch,Schimmelkäse
Hartschalenobst,Cashew
Hartschalenobst,Fenchelsamen
Hartschalenobst,Haselnuss
Hartschalenobst,Leinsamen
Hartschalenobst,Macadamianuss
Hartschalenobst,Mandel
Hartschalenobst,Mohnsamen
Hartschalenobst,Parakanuss
Hartschalenobst,Pekannuss
Hartschalenobst,Pinienkernen
Hartschalenobst,Pistazien
Hartschalenobst,Sesam
Hartschalenobst,Sonnenblumenkern
Hartschalenobst,Walnus
Sellerie,Sellerie
Senf,Senf
Sesamsamen,Sesamsamen
Schwefeldioxid und Sulfite ,Schwefeldioxid und Sulfite 
Lupinen,Lupinen
Weichtiere,Auster
Weichtiere,Miesmuschel
Weichtiere,Octopus
Weichtiere,schnecken
Weichtiere,Tintenfisch
Weichtiere,Venusmuschel
