Ready,Updated,Title,Data Package URL,URL,Example URL,License / Comments,Tags
,2016,Substitution foods,,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/healthy-recipes/art-20047195,https://events.ccc.de/congress/2017/wiki/index.php/Session:Healthy_food_hack:_Tasty_food_%3D_Unhealthy_food%3F,,
,2012,Kraft Recipe,,https://www.programmableweb.com/api/kraft-recipe,https://github.com/darylrowland/kraft-recipes-api/blob/master/README.md,Unknown - found at https://www.programmableweb.com/api/kraft-recipe,
,2017,Herbal medicines for human use,,http://www.ema.europa.eu/ema/index.jsp?curl=pages/medicines/landing/herbal_search.jsp,"FoodImmune, one of the 2017 Food Hackdays teams, knows more about this.",EU project with unclear conditions,
,2017,BeerDeCoded,,http://www.genome.beer/data,https://hack.opendata.ch/project/71,CC BY SA ? Needs clarification,
,2017,Climate Resilience of farmers and Pastoralists,,http://www.fao.org/in-action/sharp/data/geography/en/,FoodImmune https://hack.opendata.ch/project/79 was interested in this. Another FAO dataset is at http://openfood.schoolofdata.ch/food-production-ch/ - an app SHARP is developing is described at http://www.fao.org/in-action/sharp/news-and-events/events-details/en/c/387789/,FAO open license. Note: SHARP data by FOA can be downloaded by clicking the Export button without selecting anything.,
,2017,Mittlere Detailhandelspreise in Franken,,https://opendata.swiss/en/dataset/mittlere-detailhandelspreise-in-franken,http://www.statistik.bs.ch/zahlen/tabellen/5-preise.html,Open use. Must provide the source.,
,2016,Marktzahlen Brot und Getreide 2007-2016,,https://opendata.swiss/en/dataset/marktzahlen-brot-und-getreide-2007-2016,https://www.blw.admin.ch/blw/de/home/markt/marktbeobachtung/brot-und-getreide.html,Open use. Must provide the source. More BLW data under these terms at https://opendata.swiss/en/organization/bundesamt-fur-landwirtschaft-blw?res_rights=NonCommercialAllowed-CommercialAllowed-ReferenceRequired,
,2017,API Eaternity,,http://docs.eaternity.apiary.io/#,https://drive.google.com/drive/folders/0B0PtIxbyLjvFekJKQ0J5N2FWb2c ,Special access for Hackday participants,recipes restaurants ch
,2015,menuCH - Nationale ErnÃ¤hrungserhebung,,http://menuch.ch/ernaehrungserhebung/teilnahmestatistik/,http://menuch.ch/ernaehrungserhebung/info-fuer-medien/#c994,Available on request for research purposes only,nutrition ch
,2016,SGE - Datenbanken und Suchmaschinen,,http://www.sge-ssn.ch/grundlagen/forschung/datenbanken-und-suchmaschinen/ ,,,nutrition ch
,2016,Landwirtschaftliche Zonengrenzen der Schweiz,,http://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/6e4544bc-55f4-4aef-b36a-e36fe376eaf8,https://map.geo.admin.ch/?topic=ech&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe&layers=ch.blw.landwirtschaftliche-zonengrenzen&layers_opacity=0.75,Copyright © Bundesamt für Landwirtschaft anzugeben,map landuse ch
,2014,Entwicklung des Nahrungsmittelverbrauches in der Schweiz. Je Kopf und Jahr,,https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/tabellen.assetdetail.105251.html ,,,consumption ch
,2014,Nahrungsmittelverbrauch nach Art der Nahrungsmittel,,https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/tabellen.assetdetail.105244.html ,,,consumption ch
,2015,BFS - Weinverbrauch,,https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/tabellen.assetdetail.105260.html ,,,consumption wine ch
,2014,BFS - Gesundheitsrelevante Einstellungen und Verhaltensweisen,,https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/tabellen.assetdetail.83618.html ,,,health ch
,2016,Accommodation and food service statistics,,http://ec.europa.eu/eurostat/statistics-explained/index.php/Accommodation_and_food_service_statistics_-_NACE_Rev._2,http://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=sbs_na_1a_se_r2&lang=en,,economics eu
